Tennis Sony Ericsson Open 2011 Womens Tournament The Final Sharapova v Azarenka 
Match Odds
Sat Apr 02 17:30:00 BST 2011
Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
Sat Apr 02 09:48:27 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:28 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:29 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:30 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:31 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:32 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:33 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:34 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:35 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:36 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:37 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:38 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:39 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:40 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:41 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:42 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:43 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:44 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:45 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:46 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:47 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:48 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
